-2.40	-2.30	20.00	25.00		0.9840986	0.0126181	0.0126181
-2.40	-2.30	25.00	30.00		0.9847495	0.0092814	0.0092814
-2.40	-2.30	30.00	40.00		0.9832609	0.0035150	0.0035150
-2.40	-2.30	40.00	50.00		0.9827655	0.0042637	0.0042637
-2.40	-2.30	50.00	60.00		0.9756801	0.0139346	0.0139346
-2.40	-2.30	60.00	120.0		0.9732494	0.0275906	0.0275906
-2.30	-2.20	20.00	25.00		0.9818015	0.0110820	0.0110820
-2.30	-2.20	25.00	30.00		0.9898358	0.0057624	0.0057624
-2.30	-2.20	30.00	40.00		0.9838005	0.0041854	0.0041854
-2.30	-2.20	40.00	50.00		0.9884624	0.0031765	0.0031765
-2.30	-2.20	50.00	60.00		0.9745058	0.0088730	0.0088730
-2.30	-2.20	60.00	120.0		0.9860662	0.0176047	0.0176047
-2.20	-2.10	20.00	25.00		0.9637805	0.0097446	0.0097446
-2.20	-2.10	25.00	30.00		0.9622586	0.0067575	0.0067575
-2.20	-2.10	30.00	40.00		0.9563261	0.0029411	0.0029411
-2.20	-2.10	40.00	50.00		0.9559158	0.0031469	0.0031469
-2.20	-2.10	50.00	60.00		0.9548986	0.0081571	0.0081571
-2.20	-2.10	60.00	120.0		0.9457700	0.0165684	0.0165684
-2.10	-2.00	20.00	25.00		0.9816550	0.0097081	0.0097081
-2.10	-2.00	25.00	30.00		0.9810546	0.0047380	0.0047380
-2.10	-2.00	30.00	40.00		0.9797804	0.0023618	0.0023618
-2.10	-2.00	40.00	50.00		0.9799415	0.0020487	0.0020487
-2.10	-2.00	50.00	60.00		0.9816429	0.0069124	0.0069124
-2.10	-2.00	60.00	120.0		0.9860315	0.0128763	0.0128763
-2.00	-1.70	20.00	25.00		0.9776849	0.0043593	0.0043593
-2.00	-1.70	25.00	30.00		0.9823962	0.0027305	0.0027305
-2.00	-1.70	30.00	40.00		0.9842634	0.0013371	0.0013371
-2.00	-1.70	40.00	50.00		0.9826502	0.0018900	0.0018900
-2.00	-1.70	50.00	60.00		0.9816108	0.0026791	0.0026791
-2.00	-1.70	60.00	120.0		0.9792463	0.0051141	0.0051141
-1.70	-1.60	20.00	25.00		0.9964835	0.0096392	0.0096392
-1.70	-1.60	25.00	30.00		0.9888849	0.0051541	0.0051541
-1.70	-1.60	30.00	40.00		0.9926165	0.0015899	0.0015899
-1.70	-1.60	40.00	50.00		0.9933582	0.0016520	0.0016520
-1.70	-1.60	50.00	60.00		0.9918805	0.0037808	0.0037808
-1.70	-1.60	60.00	120.0		0.9829855	0.0085034	0.0085034
-1.60	-1.50	20.00	25.00		0.9984516	0.0104339	0.0104339
-1.60	-1.50	25.00	30.00		0.9965711	0.0069761	0.0069761
-1.60	-1.50	30.00	40.00		0.9948665	0.0017467	0.0017467
-1.60	-1.50	40.00	50.00		0.9982433	0.0012101	0.0012101
-1.60	-1.50	50.00	60.00		0.9923298	0.0043206	0.0043206
-1.60	-1.50	60.00	120.0		1.0036506	0.0093989	0.0093989
-1.50	-1.40	20.00	25.00		1.0018408	0.0099786	0.0099786
-1.50	-1.40	25.00	30.00		0.9935740	0.0047356	0.0047356
-1.50	-1.40	30.00	40.00		0.9960694	0.0018660	0.0018660
-1.50	-1.40	40.00	50.00		0.9987489	0.0027059	0.0027059
-1.50	-1.40	50.00	60.00		0.9953223	0.0043049	0.0043049
-1.50	-1.40	60.00	120.0		0.9931606	0.0100699	0.0100699
-1.40	-1.20	20.00	25.00		1.0038044	0.0088773	0.0088773
-1.40	-1.20	25.00	30.00		0.9918453	0.0088530	0.0088530
-1.40	-1.20	30.00	40.00		0.9956408	0.0013312	0.0013312
-1.40	-1.20	40.00	50.00		0.9968898	0.0007947	0.0007947
-1.40	-1.20	50.00	60.00		0.9914417	0.0030689	0.0030689
-1.40	-1.20	60.00	120.0		0.9943722	0.0067226	0.0067226
-1.20	-0.80	20.00	25.00		0.9866575	0.0059893	0.0059893
-1.20	-0.80	25.00	30.00		0.9836779	0.0030062	0.0030062
-1.20	-0.80	30.00	40.00		0.9806678	0.0022323	0.0022323
-1.20	-0.80	40.00	50.00		0.9805613	0.0008929	0.0008929
-1.20	-0.80	50.00	60.00		0.9753670	0.0025560	0.0025560
-1.20	-0.80	60.00	120.0		0.9816556	0.0050640	0.0050640
-0.80	-0.50	20.00	25.00		1.0027303	0.0065734	0.0065734
-0.80	-0.50	25.00	30.00		0.9974726	0.0034216	0.0034216
-0.80	-0.50	30.00	40.00		0.9911794	0.0047634	0.0047634
-0.80	-0.50	40.00	50.00		0.9923009	0.0010993	0.0010993
-0.80	-0.50	50.00	60.00		0.9889617	0.0025535	0.0025535
-0.80	-0.50	60.00	120.0		0.9968497	0.0060485	0.0060485
-0.50	-0.30	20.00	25.00		1.0090440	0.0110091	0.0110091
-0.50	-0.30	25.00	30.00		0.9910572	0.0044098	0.0044098
-0.50	-0.30	30.00	40.00		0.9923535	0.0011162	0.0011162
-0.50	-0.30	40.00	50.00		0.9938555	0.0018536	0.0018536
-0.50	-0.30	50.00	60.00		0.9904380	0.0031348	0.0031348
-0.50	-0.30	60.00	120.0		1.0062082	0.0075983	0.0075983
