0	0.9	20	25	0.984788947679107	0.0022566103546252200	0.0022566103546252200
0	0.9	25	30	0.993313101140159	0.0012037417632883100	0.0012037417632883100
0	0.9	30	40	0.993784582724386	0.0003899956569339910	0.0003899956569339910
0	0.9	40	50	0.995298135583383	0.0001769848432833540	0.0001769848432833540
0	0.9	50	60	0.996805893089899	0.0003675551918573320	0.0003675551918573320
0	0.9	60	120	0.998778111307984	0.0004672245044654290	0.0004672245044654290
0	0.9	120	500	1.000000000000000	0.0004672245044654290	0.0004672245044654290
0.9	1.2	20	25	0.995168945853424	0.0035667538260498700	0.0035667538260498700
0.9	1.2	25	30	1.000434017705070	0.0020654097230538800	0.0020654097230538800
0.9	1.2	30	40	0.999430504557491	0.0007017500541868040	0.0007017500541868040
0.9	1.2	40	50	0.997689866094632	0.0001366150201788480	0.0001366150201788480
0.9	1.2	50	60	0.999145868692873	0.0006047407189752130	0.0006047407189752130
0.9	1.2	60	120	0.999123610347426	0.0007812687856742410	0.0007812687856742410
0.9	1.2	120	500	1.000000000000000	0.0007812687856742410	0.0007812687856742410
1.2	2.1	20	25	0.991487337716615	0.0016803654903711100	0.0016803654903711100
1.2	2.1	25	30	0.995889991366112	0.0009985270704252120	0.0009985270704252120
1.2	2.1	30	40	0.997957064067205	0.0003801907708080190	0.0003801907708080190
1.2	2.1	40	50	0.998008764109922	0.0000918789570586618	0.0000918789570586618
1.2	2.1	50	60	0.998341031258564	0.0003391376633084460	0.0003391376633084460
1.2	2.1	60	120	0.999213262500000	0.0004581043626189520	0.0004581043626189520
1.2	2.1	120	500	1.000000000000000	0.0004581043626189520	0.0004581043626189520
2.1	2.4	20	25	0.983766652629232	0.0029061005561784500	0.0029061005561784500
2.1	2.4	25	30	0.991820089674746	0.0017548894957840200	0.0017548894957840200
2.1	2.4	30	40	0.996196162728585	0.0006894167475639630	0.0006894167475639630
2.1	2.4	40	50	0.998308919118126	0.0003581344599953670	0.0003581344599953670
2.1	2.4	50	60	0.998592099949049	0.0007751660508651120	0.0007751660508651120
2.1	2.4	60	120	1.001522520100000	0.0011248367558338200	0.0011248367558338200
2.1	2.4	120	500	1.000000000000000	0.0011248367558338200	0.0011248367558338200
