0.00   0.90	    20.00   25.00		0.991389246129	0.001034141366	0.001034141366
0.00   0.90	    25.00   30.00		0.991434774563	0.000587338230	0.000587338230
0.00   0.90	    30.00   40.00		0.991375554693	0.000335345403	0.000335345403
0.00   0.90	    40.00   50.00		0.991441262003	0.000305286584	0.000305286584
0.00   0.90	    50.00   60.00		0.991686185302	0.000499795101	0.000499795101
0.00   0.90	    60.00   120.0		0.990579944851	0.000764669704	0.000764669704
0.90   1.20	    20.00   25.00		0.985987369424	0.001658641130	0.001658641130
0.90   1.20	    25.00   30.00		0.983987818123	0.000916452736	0.000916452736
0.90   1.20	    30.00   40.00		0.983823809538	0.000448035839	0.000448035839
0.90   1.20	    40.00   50.00		0.984216649631	0.000368054712	0.000368054712
0.90   1.20	    50.00   60.00		0.983000311938	0.000901175568	0.000901175568
0.90   1.20	    60.00   120.0		0.981688880778	0.001483310699	0.001483310699
1.20   2.10	    20.00   25.00		0.991472765373	0.000678736690	0.000678736690
1.20   2.10	    25.00   30.00		0.991184702553	0.000448358632	0.000448358632
1.20   2.10	    30.00   40.00		0.990797996687	0.000219754385	0.000219754385
1.20   2.10	    40.00   50.00		0.989993312866	0.000218010311	0.000218010311
1.20   2.10	    50.00   60.00		0.990779674637	0.000482431083	0.000482431083
1.20   2.10	    60.00   120.0		0.988636672253	0.000773018691	0.000773018691
2.10   2.40	    20.00   25.00		0.976233661387	0.001776630117	0.001776630117
2.10   2.40	    25.00   30.00		0.973594111020	0.001269235199	0.001269235199
2.10   2.40	    30.00   40.00		0.973964994647	0.000619190186	0.000619190186
2.10   2.40	    40.00   50.00		0.973887727956	0.000769993490	0.000769993490
2.10   2.40	    50.00   60.00		0.973707641235	0.002022507655	0.002022507655
2.10   2.40	    60.00   120.0		0.967750119244	0.003422221038	0.003422221038
