CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, incl, central,           2, 0, 2.5, 20, 1000, 0, 1, "0.949449+0.000516201*x+7.13398e-08*x*x+-3.55644e-10*x*x*x" 
1, incl, down,              2, 0, 2.5, 20, 1000, 0, 1, "(0.949449+0.000516201*x+7.13398e-08*x*x+-3.55644e-10*x*x*x)*(1-(0.115123+0.000153114*x+-1.72111e-07*x*x))" 
1, incl, down_correlated,   2, 0, 2.5, 20, 1000, 0, 1, "(0.949449+0.000516201*x+7.13398e-08*x*x+-3.55644e-10*x*x*x)*(1-(0.0812896+0.00019305*x+-2.1446e-07*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.949449+0.000516201*x+7.13398e-08*x*x+-3.55644e-10*x*x*x)*(1-(0.082197))" 
1, incl, up,                2, 0, 2.5, 20, 1000, 0, 1, "(0.949449+0.000516201*x+7.13398e-08*x*x+-3.55644e-10*x*x*x)*(1+(0.115123+0.000153114*x+-1.72111e-07*x*x))" 
1, incl, up_correlated,     2, 0, 2.5, 20, 1000, 0, 1, "(0.949449+0.000516201*x+7.13398e-08*x*x+-3.55644e-10*x*x*x)*(1+(0.0812896+0.00019305*x+-2.1446e-07*x*x))" 
1, incl, up_uncorrelated,   2, 0, 2.5, 20, 1000, 0, 1, "(0.949449+0.000516201*x+7.13398e-08*x*x+-3.55644e-10*x*x*x)*(1+(0.082197))" 
