DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.653526*((1.+(0.220245*x))/(1.+(0.14383*x)))" 
1, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.043795019388198853" 
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.015845479443669319" 
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.014174085110425949" 
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.013200919143855572" 
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.012912030331790447" 
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.019475525245070457" 
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.01628459244966507" 
1, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.034840557724237442" 
1, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))-0.049875054508447647" 
1, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.043795019388198853" 
1, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.015845479443669319" 
1, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.014174085110425949" 
1, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.013200919143855572" 
1, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.012912030331790447" 
1, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.019475525245070457" 
1, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.01628459244966507" 
1, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.034840557724237442" 
1, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.653526*((1.+(0.220245*x))/(1.+(0.14383*x))))+0.049875054508447647" 
